Date,Open,High,Low,Close,Volume
2020-06-03,989,1005,979.700012,984.349976,4194237
2020-06-04,970.099976,977.450012,942.349976,971.25,5293647
2020-06-05,977,995,967,990.950012,3136137
2020-06-08,1009,1050,1006.049988,1025,7033675
2020-06-09,1037,1047,989.25,997.099976,17283990
2020-06-10,997.099976,1008.950012,970.849976,977.25,5971985
2020-06-11,976,976,949.099976,951.25,4955842
2020-06-12,910.049988,984.799988,901,977.700012,6968318
2020-06-15,979.950012,986.549988,945,948.400024,3823415
2020-06-16,965,970,933.650024,958.049988,2976379
2020-06-17,955,972.849976,945.75,963,2372940
2020-06-18,958.099976,980.5,953.650024,976,2118941
2020-06-19,980,994.950012,973,975.849976,2817395
2020-06-22,979,988,968.549988,979.5,1840153
2020-06-23,981.5,1008,981.5,999.25,2929867
2020-06-24,1010,1026,985.150024,988.200012,3451720
2020-06-25,985,994,973.549988,977.599976,2214883
2020-06-26,988,989.900024,961.900024,966.200012,2514103
2020-06-29,964.900024,971.599976,935,957.450012,3422997
2020-06-30,965,971.950012,946.400024,949.849976,1947529
2020-07-01,950,968.5,945,948.200012,3043306
2020-07-02,956.950012,994,953.099976,986.400024,3845200
2020-07-03,992,1008,986.299988,1003.5,3073808
2020-07-06,1007,1019.799988,995.650024,1014.200012,2509450
2020-07-07,1015,1029,1007,1016.25,3538454
2020-07-08,1026,1029,987.049988,991.150024,4272654
2020-07-09,995,1002.5,978.349976,991.599976,3585878
2020-07-10,985.049988,987,957.400024,961.849976,3691688
2020-07-13,973.950012,973.950012,959,966.349976,2760626
2020-07-14,960,977.900024,955,973.799988,3642970
2020-07-15,979,985.799988,963.400024,967.950012,2366530
2020-07-16,968.5,972.950012,941.799988,961.349976,2914310
2020-07-17,960,1000,956.450012,997.849976,3843594
2020-07-20,1000,1012.5,986,1001.700012,3349775
2020-07-21,1004,1017.400024,999.25,1015.150024,2491480
2020-07-22,1020.25,1065.949951,1015.599976,1057.699951,7642553
2020-07-23,1067.949951,1083,1051.099976,1070.199951,6785686
2020-07-24,1064.800049,1066,1032.699951,1057.599976,4407065
2020-07-27,1057,1072.5,1039.349976,1042.099976,2783336
2020-07-28,1045,1054.949951,1028.550049,1052.699951,3129955
2020-07-29,1056.800049,1066.75,1036.199951,1040.449951,2332468
2020-07-30,1042,1057.699951,1039.949951,1041.849976,2297977
2020-07-31,1045.5,1051.099976,1032.699951,1043.25,1786573
2020-08-03,1047,1094.650024,1043,1077.349976,7646498
2020-08-04,1088.949951,1089.199951,1065.25,1075.199951,3357481
2020-08-05,1083,1114.449951,1078,1105.449951,5465772
2020-08-06,1105.449951,1125,1091.25,1120.150024,4499103
2020-08-07,1114.949951,1131.400024,1086.050049,1091.050049,4553672
2020-08-10,1093,1114.599976,1084,1107.550049,5185798
2020-08-11,1074,1087.699951,1048.599976,1066.25,11189277
2020-08-12,1068,1076.900024,1048.550049,1056.349976,6260227
2020-08-13,1064.050049,1103.150024,1062,1097.650024,5476727
2020-08-14,1097.650024,1119,1090.050049,1104.150024,4149195
2020-08-17,1113,1126.199951,1106,1123.849976,3033448
2020-08-18,1128.949951,1151.800049,1125.099976,1145.550049,4134374
2020-08-19,1158.849976,1159,1145,1148.400024,2570066
2020-08-20,1130.050049,1138.400024,1118.800049,1125.699951,2727302
2020-08-21,1137.699951,1143.800049,1129.099976,1138.099976,2181243
2020-08-24,1140,1146.75,1124,1126.650024,2122417
2020-08-25,1131,1139,1122.900024,1136.5,1465877
2020-08-26,1139.699951,1150,1127.150024,1134.199951,2009966
2020-08-27,1140,1148.5,1127,1137.650024,1459135
2020-08-28,1148.25,1148.25,1131.599976,1134.099976,1628956
2020-08-31,1131,1153,1086,1100.5,3373546
2020-09-01,1105,1129.650024,1095.650024,1120.050049,2043953
2020-09-02,1116.949951,1124.650024,1102.599976,1121.300049,1919880
2020-09-03,1121.300049,1191.599976,1121.300049,1185.300049,5945052
2020-09-04,1161.599976,1198.050049,1155,1159.25,3490945
2020-09-07,1164,1176.449951,1149.300049,1167.699951,2166322
2020-09-08,1167.699951,1174.099976,1154.599976,1162.550049,1994062
2020-09-09,1156.900024,1171.800049,1148.300049,1161.099976,1918422
2020-09-10,1165,1165.849976,1138.75,1155.25,1841208
2020-09-11,1156,1194,1155,1167.75,5572098
2020-09-14,1168.5,1191.599976,1167.949951,1188,2019325
2020-09-15,1194.800049,1220,1170.150024,1174.550049,5204233
2020-09-16,1180,1189,1164.699951,1181.699951,2463561
2020-09-17,1174.949951,1191.550049,1168.050049,1182.400024,2019300
2020-09-18,1185,1201.5,1157.349976,1163.599976,2575064
2020-09-21,1163.599976,1171.800049,1115.050049,1119.900024,2666086
2020-09-22,1120,1127.5,1093.150024,1104.449951,2000953
2020-09-23,1107.5,1121.949951,1103,1117.199951,2068183
2020-09-24,1113,1113.900024,1076,1096.150024,2356296
2020-09-25,1097.550049,1115,1081.25,1109.349976,2275740
2020-09-28,1119,1143.949951,1108.349976,1138.75,2509616
2020-09-29,1145,1174.150024,1139.349976,1167.300049,3586518
2020-09-30,1173,1205,1163.25,1201.349976,3635996
2020-10-01,1203.599976,1211,1182,1198.650024,2990243
2020-10-05,1201,1216,1188.699951,1194.349976,2151235
2020-10-06,1204,1215.949951,1192,1199.949951,2087249
2020-10-07,1205,1268,1200.449951,1254,9411156
2020-10-08,1257,1262.550049,1233.599976,1254.150024,3144780
2020-10-09,1254.150024,1269,1247.5,1255.199951,1873176
2020-10-12,1260.199951,1261.349976,1236,1256.75,2009418
2020-10-13,1257.550049,1281.900024,1223.650024,1228.849976,4735253
2020-10-14,1224.349976,1248.949951,1218.550049,1223.449951,4096708
2020-10-15,1222.900024,1237.550049,1210,1213.599976,2727327
2020-10-16,1216.050049,1240.050049,1216,1223.150024,2772602
2020-10-19,1225.099976,1234.599976,1213.099976,1228.800049,1606979
2020-10-20,1230,1245.550049,1217.099976,1233.5,2841242
2020-10-21,1241,1256.550049,1229,1244.699951,2687516
2020-10-22,1240.150024,1253,1220,1229.449951,1973416
2020-10-23,1235,1247.800049,1231.199951,1241.699951,1527141
2020-10-26,1250,1250,1210.5,1215.5,1425518
2020-10-27,1219,1237,1213.550049,1231.800049,1778338
2020-10-28,1231.800049,1241,1185.349976,1217,4810354
2020-10-29,1201,1201,1155.550049,1178.199951,5274120
2020-10-30,1176.400024,1187.800049,1159.099976,1165.75,2275592
2020-11-02,1167.5,1182,1154,1168.5,2502801
2020-11-03,1178,1205.300049,1174.800049,1199.949951,2079628
2020-11-04,1199.949951,1217.900024,1192.699951,1215.650024,2043263
2020-11-05,1224.150024,1253.849976,1210.25,1242.099976,2215527
2020-11-06,1242.099976,1265.849976,1239,1253.5,2546487
2020-11-09,1265.400024,1287.699951,1252.449951,1285.050049,1840061
2020-11-10,1286,1312,1274.349976,1305.400024,2898878
2020-11-11,1309.900024,1318.699951,1263.699951,1274.699951,2872916
2020-11-12,1286.949951,1296,1267,1278.099976,3650248
2020-11-13,1297,1304,1278.449951,1288.449951,3107920
2020-11-17,1297,1304.800049,1277.300049,1301.949951,2185705
2020-11-18,1301.949951,1303,1267,1280.099976,2934467
2020-11-19,1278.550049,1345.599976,1270.050049,1292.449951,6942825
2020-11-20,1295.949951,1371.300049,1295.599976,1365.150024,10421957
2020-11-23,1375,1375,1332,1347.599976,2995116
2020-11-24,1347.599976,1364.449951,1323.25,1327.150024,2876893
2020-11-25,1331,1345,1300.349976,1306.949951,3417818
2020-11-26,1316.949951,1333,1308.150024,1327.400024,2819881
2020-11-27,1333,1368.400024,1313.550049,1361.199951,5497388
2020-12-01,1383,1386.400024,1335,1341.099976,2881906
2020-12-02,1347.949951,1392.050049,1343.5,1389,2969071
2020-12-03,1398.900024,1424,1386.050049,1418.5,3939085
2020-12-04,1418.5,1440.550049,1413.699951,1437.150024,2229459
2020-12-07,1436,1436,1418,1425.300049,1430365
2020-12-08,1425.300049,1435.650024,1412.349976,1427.849976,1666175
2020-12-09,1430,1435,1417.550049,1426.150024,1579066
2020-12-10,1428,1445,1415.550049,1424.199951,2588422
2020-12-11,1427.5,1449.849976,1423,1442.400024,1398271
2020-12-14,1451,1469.5,1445,1463.449951,2453825
2020-12-15,1460.5,1476,1449.300049,1468.75,2035503
2020-12-16,1477,1510,1469.199951,1504.449951,2638988
2020-12-17,1495.150024,1520,1492.300049,1501.949951,1951230
2020-12-18,1502,1525,1497.099976,1519.349976,3299825
2020-12-21,1514.199951,1528.550049,1451,1471.650024,2298069
2020-12-22,1466,1510,1451.199951,1498.800049,3305444
2020-12-23,1504.699951,1519.800049,1478.050049,1490.849976,2847742
2020-12-24,1520,1520,1486,1495.900024,1947894
2020-12-28,1503.300049,1547.650024,1496.150024,1543.550049,2497242
2020-12-29,1554,1556.849976,1528.449951,1540.099976,2081338
2020-12-30,1548,1555.699951,1533.300049,1552.599976,1151230
2020-12-31,1549,1571,1544.199951,1567.150024,2031709
2021-01-01,1562.099976,1573,1555.949951,1558.599976,1003018
2021-01-04,1566,1567,1538,1550.900024,1383979
2021-01-05,1545,1576.849976,1541.5,1570.949951,1351709
2021-01-06,1578,1621.349976,1561.849976,1572.599976,3312171
2021-01-07,1570,1570,1535,1542.349976,2820445
2021-01-08,1547.900024,1555.300049,1521.5,1548.599976,3478504
2021-01-11,1560,1572,1545.699951,1563.900024,1425529
2021-01-12,1560,1560.800049,1524,1527.099976,2550741
2021-01-13,1530,1536,1495,1505.800049,3527208
2021-01-14,1508,1517.849976,1480.050049,1489.949951,2814477
2021-01-15,1489.949951,1509,1471.300049,1477.25,1725346
2021-01-18,1467,1509,1460,1503.550049,2302268
2021-01-19,1518,1524,1501,1519.900024,2279346
2021-01-20,1519.900024,1541,1519.900024,1531.300049,1838240
2021-01-21,1533.099976,1549.849976,1512.050049,1517.300049,1558030
2021-01-22,1522,1534.699951,1487,1491.199951,1364197
2021-01-25,1505.050049,1512.800049,1478.75,1499.849976,1604484
2021-01-27,1505,1505,1432,1440.699951,2021747
2021-01-28,1420,1454.449951,1415.650024,1450.099976,1850239
2021-01-29,1456,1469.25,1415.25,1420.300049,2435997
2021-02-01,1437.800049,1508.550049,1423.650024,1501.550049,2215933
2021-02-02,1515,1536,1482,1485.449951,1974202
2021-02-03,1492,1529,1492,1525.150024,1853072
2021-02-04,1530,1540,1488.099976,1513.599976,2728965
2021-02-05,1518.550049,1538.949951,1504.5,1509.449951,1344007
2021-02-08,1514,1564.849976,1510.050049,1541.699951,2683198
2021-02-09,1548,1584.650024,1543.050049,1559.900024,2364475
2021-02-10,1575.400024,1588,1526,1563.150024,2125469
2021-02-11,1552,1575.900024,1511.25,1524.699951,5970196
2021-02-12,1536.699951,1536.699951,1491,1494.199951,3284441
2021-02-15,1506,1518.5,1476.75,1484.75,3156535
2021-02-16,1492.150024,1505,1461,1471.849976,3090249
2021-02-17,1469.400024,1483,1449.5,1460.400024,2096959
2021-02-18,1465.099976,1471.900024,1429,1433,2686046
2021-02-19,1434,1444.900024,1412.800049,1425.550049,2543997
2021-02-22,1425,1433.099976,1396,1405.25,1931189
2021-02-23,1415,1436.949951,1400.150024,1424.050049,1871135
2021-02-24,1424.050049,1474,1424.050049,1451.849976,1143204
2021-02-25,1460,1462.949951,1430.5,1434.449951,1967386
2021-02-26,1420,1431.949951,1403.099976,1406.900024,2715597
2021-03-01,1421.5,1466,1416.599976,1452.150024,1962042
2021-03-02,1469,1474,1450,1471.150024,1293306
2021-03-03,1472,1481.650024,1466.150024,1474.599976,1227772
2021-03-04,1452,1487.650024,1450.550049,1470.5,1822476
2021-03-05,1465,1493,1462.199951,1474.199951,1954113
2021-03-08,1475,1481.25,1451,1456.75,1060584
2021-03-09,1470,1478.900024,1445,1456.900024,941590
2021-03-10,1470,1481,1463,1471.25,1257628
2021-03-12,1480,1507.800049,1478.5,1482.5,2631081
2021-03-15,1496.900024,1496.900024,1471,1492.199951,1482287
2021-03-16,1505,1531,1496.900024,1500.949951,3191850
2021-03-17,1494.25,1499.550049,1470.050049,1472.550049,1195023
2021-03-18,1485.599976,1492.900024,1463,1468.199951,1242978
2021-03-19,1450,1470.849976,1432.050049,1465.449951,2360672
2021-03-22,1465,1468.650024,1448,1460.300049,1331121
2021-03-23,1460.300049,1514.800049,1454,1495.349976,2534795
2021-03-24,1486,1508.800049,1476.449951,1488.150024,1871092
2021-03-25,1484.099976,1498.5,1447.75,1450.849976,1609996
2021-03-26,1459.900024,1512.400024,1457,1505.849976,1922278
2021-03-30,1510,1563,1510,1552.199951,3466042
2021-03-31,1549.900024,1567.400024,1536.75,1558.050049,1431746
2021-04-01,1560,1593.300049,1551.550049,1559.349976,1343989
2021-04-05,1541.099976,1559,1500,1535,1376233
2021-04-06,1529.5,1548,1509,1525.5,1400544
2021-04-07,1522.099976,1561.449951,1508,1514.099976,2592185
2021-04-08,1529.25,1579,1525.5,1571.300049,2085919
2021-04-09,1569.900024,1618,1561.300049,1592,3569146
2021-04-12,1571,1572.650024,1502.25,1510.449951,1889829
2021-04-13,1528.599976,1553.300049,1516.650024,1530.599976,1880575
2021-04-15,1545,1554.5,1515.550049,1538.550049,1313429
2021-04-16,1529.800049,1559.800049,1529.800049,1549.050049,1501276
2021-04-19,1525,1532.449951,1500.099976,1518.699951,1439975
2021-04-20,1524.199951,1560,1510,1522.900024,1789104
2021-04-22,1530,1530,1473.150024,1480.849976,2200432
2021-04-23,1478,1496.900024,1451.599976,1461.449951,1726070
2021-04-26,1470,1489.75,1465.150024,1479.849976,1020499
2021-04-27,1485,1503.550049,1482,1495.099976,1145908
2021-04-28,1505,1514.900024,1491.699951,1508.849976,1037771
2021-04-29,1524,1527.5,1497,1506.800049,1927546
2021-04-30,1500,1516.550049,1471,1491.650024,3691399
2021-05-03,1477,1477,1421,1423.949951,3945733
2021-05-04,1434,1434,1400.050049,1402.900024,3194977
2021-05-05,1406,1431.900024,1403.400024,1428.400024,1819256
2021-05-06,1435.800049,1448.449951,1431,1444.400024,1464006
2021-05-07,1449,1459.25,1439.900024,1446.5,1190019
2021-05-10,1454.400024,1469.75,1445,1455.150024,1322561
2021-05-11,1439.099976,1457.949951,1432,1435.25,1582827
2021-05-12,1431,1460,1425.849976,1454.949951,1358169
2021-05-14,1469,1477.800049,1433,1455.849976,1876873
2021-05-17,1462,1470.800049,1438,1468.300049,2218758
2021-05-18,1480,1547.099976,1476.25,1539.25,3075596
2021-05-19,1522.25,1553.900024,1516.800049,1521.150024,1504440
2021-05-20,1523,1566.25,1522.5,1531.349976,3032029
2021-05-21,1552.199951,1552.849976,1533.550049,1538.349976,1158893
2021-05-24,1532.150024,1535,1505.449951,1520.75,1126532
2021-05-25,1536,1574.900024,1535,1569.150024,2530758
2021-05-26,1580,1614,1576.650024,1582.949951,3839248
2021-05-27,1590.699951,1606.949951,1567.349976,1594.25,2810155
2021-05-28,1595,1612.25,1570.550049,1577,1028675
2021-05-31,1570.650024,1608.25,1569,1596.25,1525715
2021-06-01,1608,1612,1589.300049,1591.400024,1111933
2021-06-02,1581,1596.75,1564.199951,1585.699951,1859258
2021-06-03,1601,1678,1588.550049,1669,4555517
